,Title,Published_date,Views,Likes,Comments,Month
181,Professional CLI Applications with Click,2022-07-14,29298,776,23,Jul
182,Simple Image Viewer in Python,2022-07-12,9796,305,24,Jul
183,Mitosheet Makes DataFrames Easier,2022-07-10,6585,333,16,Jul
184,Hardware Information Tool in Python,2022-07-08,10338,514,19,Jul
185,Importing Your Own Python Modules Properly,2022-07-06,88533,1898,78,Jul
186,Fix Memory Leaks in C Code with Valgrind,2022-07-04,12049,311,13,Jul
187,Debugging C Programs with GDB,2022-07-02,10681,326,21,Jul
188,UndoTree - The Mind-Blowing Vim Plugin,2022-06-30,3807,130,11,Jun
189,Simple UDP Chat Room in Python,2022-06-28,13566,431,23,Jun
190,CPU & RAM Usage Monitor in Python,2022-06-26,22277,913,41,Jun
191,Split Screen Videos with MoviePy,2022-06-24,8063,413,25,Jun
192,Virtual Environments in Python - Crash Course,2022-06-22,27598,886,25,Jun
193,Word File Processing in Python,2022-06-20,27267,678,35,Jun
194,THIS is How Amber Heard Got Caught Lying - Metadata Analysis in Python,2022-06-18,10905,594,28,Jun
195,Automatically Visualize Datasets with AutoViz in Python,2022-06-16,13832,594,11,Jun
196,Custom Keyboard Shortcuts on Windows with AutoHotKey,2022-06-14,9985,282,45,Jun
197,Technical Stock Analysis Made Easy in Python,2022-06-12,28259,775,19,Jun
198,Color Name Detector in Python,2022-06-10,5299,249,10,Jun
199,Image Compression Using PCA in Python,2022-06-08,8310,293,15,Jun
200,Markdown Crash Course - Beginner Tutorial,2022-06-06,11166,477,18,Jun
201,Calculating Text Similarity in Python with NLP,2022-06-04,23543,656,21,Jun
202,Extracting Dominant Colors From Images in Python,2022-06-02,11975,422,17,Jun
203,Stock Price Alarm Bot in Python,2022-05-31,9427,378,19,May
204,Visualizing Decision Trees in Python,2022-05-29,8779,365,10,May
205,Plotting in Command Line With Python,2022-05-27,8437,262,8,May
206,Visualize Stock Market Maps in Python,2022-05-25,5451,262,12,May
207,Jupyter Lab is AWESOME For Data Science,2022-05-23,41366,1118,39,May
208,Democratic Machine Learning With Voting Classifiers,2022-05-21,4256,225,5,May
209,Custom Color Maps in Matplotlib,2022-05-19,11542,288,12,May
210,Type Hinting Makes Your Code More Professional,2022-05-17,8143,390,16,May
211,Interactive Python Plots With IPyWidgets,2022-05-15,23351,702,27,May
212,SymPy is REVOLUTIONARY For Mathematical Tasks,2022-05-13,53555,1935,122,May
213,Animating Statistical Data in Python,2022-05-11,5627,281,14,May
214,Online Web Chat in Python With Flask,2022-05-09,48592,1176,53,May
215,Windows Notifications in Python,2022-05-07,19570,816,41,May
216,Jupyter Notebooks Are What You Need For Data Science,2022-05-05,7648,334,17,May
217,Connect Python Scripts To Internet With Ngrok,2022-05-03,23959,825,32,May
218,System Tray Icon in Python,2022-05-01,17313,735,27,May
219,Conway's Game of Life in Python,2022-04-29,28511,829,51,Apr
220,Morse Code in Python,2022-04-27,9635,448,20,Apr
221,Host Python Web Apps For Free,2022-04-25,30862,702,37,Apr
222,Progress Bars in Python Terminal,2022-04-23,85839,3366,144,Apr
223,Auto Clicker Bot in Python,2022-04-21,58444,1258,97,Apr
224,Web Scraping with Professional Proxy Servers in Python,2022-04-19,32986,867,44,Apr
225,Seaborn Is The Easier Matplotlib,2022-04-17,104405,3169,54,Apr
226,Does Pydantic Replace Dataclasses in Python?,2022-04-15,19530,677,28,Apr
227,Statistics Fundamentals in Python,2022-04-13,14477,425,14,Apr
228,Generating Professional Sample Data with Faker in Python,2022-04-11,12893,478,15,Apr
229,Partial Functions in Python - Functools Tutorial,2022-04-09,10259,383,24,Apr
230,Config Files & Parsing in Python,2022-04-07,37707,677,31,Apr
231,Handling Multiple Timezones in Python,2022-04-05,6232,231,16,Apr
232,Create Fancy Word Clouds in Python,2022-04-03,11653,548,25,Apr
233,Automated Video Editing with MoviePy in Python,2022-04-01,53847,1477,51,Apr
234,Debugging Python Code Tutorial,2022-03-30,17438,399,22,Mar
235,Weather API Tutorial in Python,2022-03-28,44526,1012,68,Mar
236,Python Itertools For Advanced Iteration,2022-03-26,7864,402,19,Mar
237,Locking & Synchronizing Threads in Python,2022-03-24,8445,273,16,Mar
238,Breast Cancer Detection with Python,2022-03-22,10538,309,43,Mar
239,Professional Preprocessing with Pipelines in Python,2022-03-20,25993,807,38,Mar
240,Precision & Recall in Machine Learning Explained,2022-03-18,2409,101,13,Mar
241,Kraken Trading Bot in Python,2022-03-16,16431,446,25,Mar
242,Automated Google Drive Backups in Python,2022-03-14,15220,521,47,Mar
243,Polynomial Regression in Python,2022-03-12,20873,577,18,Mar
244,Studying Algorithms in Python,2022-03-10,15598,664,30,Mar
245,Automated Crypto Trading Bots with Trality,2022-03-08,11861,391,17,Mar
246,Counters in Python Simply Explained,2022-03-06,12739,404,18,Mar
247,Calorie Tracker in Python - Data Visualization Project,2022-03-04,12118,432,16,Mar
248,Password Manager in Python,2022-03-02,37680,917,55,Mar
249,Bandwidth Monitor in Python,2022-02-28,18533,697,34,Feb
250,Simple Face Detection in Python,2022-02-26,52738,1142,42,Feb
251,Vim Snippets Are Next Level,2022-02-24,9575,250,13,Feb
252,Heaps & Priority Queues in Python,2022-02-22,22919,502,13,Feb
253,Fingerprint Matching in Python,2022-02-20,54839,1128,60,Feb
254,Analyzing Stock Price Correlations in Python,2022-02-18,10641,483,30,Feb
255,Hyperparameter Tuning in Python with GridSearchCV,2022-02-16,7812,250,9,Feb
256,Titanic Survival Prediction in Python - Machine Learning Project,2022-02-14,35473,818,54,Feb
257,Simulating Real-Life Processes in Python,2022-02-12,40799,982,23,Feb
258,Binary Search Tree in Python,2022-02-10,18861,589,26,Feb
259,NumPy Full Python Course - Data Science Fundamentals,2022-02-08,23068,935,41,Feb
260,Professional Tables in Python,2022-02-06,46458,955,27,Feb
261,Compiling & Decompiling Python Scripts,2022-02-04,30554,557,47,Feb
262,The Perfect Logic Riddle For Computer Scientists,2022-02-02,5080,326,33,Feb
263,Image Filters & Effects in Python,2022-01-31,7682,282,14,Jan
264,Fuzzy String Matching in Python,2022-01-29,34800,928,19,Jan
265,Vimium Is Vim For Your Browser,2022-01-27,13502,359,25,Jan
266,Hide Secret Messages in PNG Files,2022-01-25,17694,654,41,Jan
267,Password Strength Checker in Python,2022-01-23,13209,399,24,Jan
268,3D Game Development in Python with Ursina,2022-01-21,155212,3425,126,Jan
269,Pomodoro Timer GUI in Python,2022-01-19,14331,405,15,Jan
270,Windows Tools Every (Power) User Should Use,2022-01-17,25389,452,35,Jan
271,File Handling & Errors - C Programming Tutorial #10,2022-01-15,2418,123,12,Jan
272,Pointers - C Programming Tutorial #9,2022-01-13,2398,163,13,Jan
273,Bulk File Renaming Tool Project in Python,2022-01-11,7025,271,15,Jan
274,Python Coding Conventions You Really Should Follow,2022-01-09,11692,460,21,Jan
275,Arrays - C Programming Tutorial #8,2022-01-07,1850,128,7,Jan
276,Functions - C Programming Tutorial #7,2022-01-05,1622,128,5,Jan
277,Professional Data Encryption in Python,2022-01-03,26730,644,30,Jan
278,Simple Mail Checker in Python,2022-01-01,39579,971,38,Jan
279,Loops - C Programming Tutorial #6,2021-12-30,1634,117,7,Dec
280,"Conditions, If Statements, Switch Case - C Programming Tutorial #5",2021-12-28,2891,149,7,Dec
281,Simple HTTP Server in Python,2021-12-26,106043,1994,75,Dec
282,How To Choose Secure Passwords,2021-12-24,3014,180,11,Dec
283,"Typecasting, Constants & Strings - C Programming Tutorial #4",2021-12-22,1945,140,12,Dec
284,Operators  - C Programming Tutorial #3,2021-12-20,2170,165,12,Dec
285,The Simplest Python Chat You Can Build,2021-12-18,34457,1141,61,Dec
286,NeoVim Plugins You Don't Want To Miss,2021-12-16,59808,1051,64,Dec
287,Data Types & Variables  - C Programming Tutorial #2,2021-12-14,5115,321,28,Dec
288,Motivation & First Program - C Programming Tutorial #1,2021-12-12,10714,838,75,Dec
289,Find Your Files INSTANTLY on Windows,2021-12-10,7576,413,42,Dec
290,Counting My Bicep Curl Reps in Python with AI,2021-12-08,9262,552,50,Dec
291,Analyzing Financial Statements in Python,2021-12-06,42659,835,20,Dec
292,Randomness in C is not so simple...,2021-12-04,3285,233,23,Dec
293,100k Subscriber Special - Unboxing The Play Button,2021-12-02,1890,249,112,Dec
294,Asymmetric Encryption With OpenSSL (Private Key & Public Key),2021-11-30,7419,271,10,Nov
295,Symmetric Encryption With OpenSSL,2021-11-28,8344,332,13,Nov
296,Instagram Hashtag Generator in Python,2021-11-26,4850,197,12,Nov
297,Multiplayer Tic-Tac-Toe Game in Python,2021-11-24,24023,609,28,Nov
298,Speed Typing Test in Python,2021-11-22,21844,555,35,Nov
299,Will GitHub Copilot Replace Programmers?,2021-11-20,5575,278,37,Nov
300,Coding A Countdown Timer in Python,2021-11-18,33736,639,46,Nov
301,Simple TCP Chat Room in Java,2021-11-16,52496,1263,64,Nov
302,Building A Simple REST API with FastAPI in Python,2021-11-14,27320,749,27,Nov
303,Vim Macros Are A Game Changer,2021-11-12,10063,356,25,Nov
304,Simple Todo GUI App in Python,2021-11-10,9158,317,12,Nov
305,Awesome PyCharm Setup - Full Guide,2021-11-08,114013,1695,34,Nov
306,x86 Assembly - Hello World Explained,2021-11-06,30968,1150,72,Nov
307,"Python's ""is"" and ""=="" are more complex than you think...",2021-11-04,28574,1161,83,Nov
308,Visualizing Sorting Algorithms in Python,2021-11-02,13429,485,15,Nov
309,Be Careful When Using scanf() in C,2021-10-31,111063,5025,211,Oct
310,How To Use Proxy Servers in Python,2021-10-29,48101,1248,66,Oct
311,TCP vs UDP Sockets in Python,2021-10-27,18966,638,29,Oct
312,Awesome Neovim Setup From Scratch - Full Guide,2021-10-25,442890,6663,289,Oct
313,AI Crypto Trading Bots For Beginners - Pionex Tutorial,2021-10-23,25201,537,51,Oct
314,Recursion Simply Explained,2021-10-21,5534,276,22,Oct
315,How You Should Split Your Datasets in Machine Learning,2021-10-19,6325,235,19,Oct
